diagnosis_cd,diagnosis
217,BENIGN NEOPLASM BREAST
218,SUBMUCOUS LEIOMYOMA
219,BENIGN NEO CERVIX UTERI
220,BENIGN NEOPLASM OVARY
223,BENIGN NEOPLASM KIDNEY
225,BENIGN NEOPLASM BRAIN
226,BENIGN NEOPLASM THYROID
227,BENIGN NEOPLASM ADRENAL
228,HEMANGIOMA NOS
229,BENIGN NEO LYMPH NODES
230,CA IN SITU ORAL CAV/PHAR
232,CA IN SITU SKIN LIP
233,CA IN SITU BREAST
235,UNC BEHAV NEO SALIVARY
236,UNCERT BEHAV NEO UTERUS
237,UNC BEHAV NEO PITUITARY
238,UNC BEHAV NEO BONE
239,DIGESTIVE NEOPLASM NOS
240,SIMPLE GOITER
241,NONTOX UNINODULAR GOITER
242,TOX DIF GOITER NO CRISIS
243,CONGENITAL HYPOTHYROIDSM
244,POSTSURGICAL HYPOTHYROID
245,ACUTE THYROIDITIS
246,DIS THYROCALCITON SECRET
250,DIABETES MELLITUS
251,HYPOGLYCEMIC COMA
252,HYPERPARATHYROIDISM
253,ACROMEGALY AND GIGANTISM
255,CUSHING'S SYNDROME
256,HYPERESTROGENISM
258,WERMER'S SYNDROME
259,DELAY SEXUAL DEVELOP NEC
260,KWASHIORKOR
261,NUTRITIONAL MARASMUS
262,OTH SEVERE MALNUTRITION
263,MALNUTRITION MOD DEGREE
265,BERIBERI
266,ARIBOFLAVINOSIS
268,"RICKETS, ACTIVE"
269,DEFICIENCY OF VITAMIN K
270,AMINO-ACID TRANSPORT DIS
271,GLYCOGENOSIS
272,PURE HYPERCHOLESTEROLEM
273,POLYCLON HYPERGAMMAGLOBU
274,GOUTY ARTHROPATHY
275,DIS IRON METABOLISM
276,HYPEROSMOLALITY
277,CYSTIC FIBROS W/O ILEUS
278,OBESITY NOS
279,HYPOGAMMAGLOBULINEM NOS
280,CHR BLOOD LOSS ANEMIA
281,PERNICIOUS ANEMIA
282,HEREDITARY SPHEROCYTOSIS
283,AUTOIMMUN HEMOLYTIC ANEM
284,CONGEN APLASTIC ANEMIA
285,SIDEROBLASTIC ANEMIA
286,CONG FACTOR VIII DIORD
287,ALLERGIC PURPURA
288,AGRANULOCYTOSIS
289,SECONDARY POLYCYTHEMIA
290,SENILE DEMENTIA UNCOMP
291,DELIRIUM TREMENS
292,DRUG WITHDRAWAL
293,DELIRIUM D/T OTHER COND
294,AMNESTIC DISORD OTH DIS
295,SIMPL SCHIZOPHREN-UNSPEC
296,BIPOL I SINGLE MANIC NOS
297,"PARANOID STATE, SIMPLE"
298,REACT DEPRESS PSYCHOSIS
299,AUTISTIC DISORD-CURRENT
300,ANXIETY STATE NOS
301,PARANOID PERSONALITY
302,EGO-DYSTONIC SEX ORIENT
303,AC ALCOHOL INTOX-UNSPEC
304,OPIOID DEPENDENCE-UNSPEC
305,ALCOHOL ABUSE-UNSPEC
306,PSYCHOGEN MUSCULSKEL DIS
307,ADULT ONSET FLNCY DISORD
308,"STRESS REACT, EMOTIONAL"
309,ADJUSTMNT DIS W DEPRESSN
310,FRONTAL LOBE SYNDROME
311,DEPRESSIVE DISORDER NEC
312,UNSOCIAL AGGRESS-UNSPEC
313,OVERANXIOUS DISORDER
314,ATTN DEFIC NONHYPERACT
315,READING DISORDER NOS
316,PSYCHIC FACTOR W OTH DIS
317,MILD INTELLECT DISABILTY
318,MOD INTELLECT DISABILITY
319,INTELLECT DISABILITY NOS
320,HEMOPHILUS MENINGITIS
322,NONPYOGENIC MENINGITIS
323,ENCEPHALIT IN VIRAL DIS
324,INTRACRANIAL ABSCESS
325,PHLEBITIS INTRCRAN SINUS
327,ORGANIC INSOMNIA NOS
331,ALZHEIMER'S DISEASE
332,PARALYSIS AGITANS
333,DEGEN BASAL GANGLIA NEC
334,FRIEDREICH'S ATAXIA
335,WERDNIG-HOFFMANN DISEASE
336,SYRINGOMYELIA
337,IDIOPATH AUTO NEUROPATHY
338,CENTRAL PAIN SYNDROME
340,MULTIPLE SCLEROSIS
341,NEUROMYELITIS OPTICA
342,FLCCD HMIPLGA UNSPF SIDE
343,CONGENITAL DIPLEGIA
344,"QUADRIPLEGIA, UNSPECIFD"
345,GEN NONCV EP W/O INTR EP
346,MGRN W AURA WO NTRC MGRN
347,CATAPLEXY AND NARCOLEPSY
348,CEREBRAL CYSTS
349,LUMBAR PUNCTURE REACTION
350,TRIGEMINAL NEURALGIA
351,BELL'S PALSY
352,OLFACTORY NERVE DISORDER
353,BRACHIAL PLEXUS LESIONS
354,CARPAL TUNNEL SYNDROME
355,SCIATIC NERVE LESION
356,HERED PERIPH NEUROPATHY
357,AC INFECT POLYNEURITIS
358,MYASTHENIA GRAVIS
359,CONG HERED MUSC DYSTRPHY
360,PURULENT ENDOPHTHALM NOS
361,DETACHMNT W DEFECT NOS
362,DIABETIC RETINOPATHY NOS
363,FOCAL CHORIORETINIT NOS
364,ACUTE IRIDOCYCLITIS NOS
365,PREGLAUCOMA NOS
366,NONSENILE CATARACT NOS
368,AMBLYOPIA NOS
369,BOTH EYES BLIND-WHO DEF
370,CORNEAL ULCER NOS
372,ACUTE CONJUNCTIVITIS NOS
373,BLEPHARITIS NOS
374,ENTROPION NOS
375,DACRYOADENITIS NOS
376,"ACUTE INFLAM NOS, ORBIT"
377,PAPILLEDEMA NOS
378,ESOTROPIA NOS
379,SCLERITIS NOS
380,PERICHONDRITIS PINNA NOS
381,AC NONSUP OTITIS MED NOS
382,AC SUPP OTITIS MEDIA NOS
383,AC MASTOIDITIS W/O COMPL
384,ACUTE MYRINGITIS NOS
385,TYMPANOSCLEROSIS NOS
386,MENIERE'S DISEASE NOS
387,OTOSCLER-OVAL WND NONOBL
388,DEGEN/VASCUL DIS EAR NOS
389,CONDUCT HEARING LOSS NOS
391,ACUTE RHEUMATIC PERICARD
394,MITRAL STENOSIS
395,RHEUMAT AORTIC STENOSIS
396,MITRAL/AORTIC STENOSIS
397,TRICUSPID VALVE DISEASE
398,RHEUMATIC MYOCARDITIS
401,MALIGNANT HYPERTENSION
402,MAL HYP HT DIS W/O HF
403,MAL HY KID W CR KID I-IV
404,MAL HY HT/KD I-IV W/O HF
405,MAL RENOVASC HYPERTENS
410,"AMI ANTEROLATERAL,UNSPEC"
411,POST MI SYNDROME
412,OLD MYOCARDIAL INFARCT
413,ANGINA DECUBITUS
414,COR ATH UNSP VSL NTV/GFT
415,ACUTE COR PULMONALE
416,PRIM PULM HYPERTENSION
417,ARTERIOVEN FISTU PUL VES
420,AC PERICARDIT IN OTH DIS
421,AC/SUBAC BACT ENDOCARD
422,AC MYOCARDIT IN OTH DIS
423,HEMOPERICARDIUM
424,MITRAL VALVE DISORDER
425,ENDOMYOCARDIAL FIBROSIS
426,ATRIOVENT BLOCK COMPLETE
427,PAROX ATRIAL TACHYCARDIA
428,CHF NOS
429,MYOCARDITIS NOS
430,SUBARACHNOID HEMORRHAGE
431,INTRACEREBRAL HEMORRHAGE
432,NONTRAUM EXTRADURAL HEM
433,OCL BSLR ART WO INFRCT
434,CRBL THRMBS WO INFRCT
435,BASILAR ARTERY SYNDROME
436,CVA
437,CEREBRAL ATHEROSCLEROSIS
438,LATE EF CV DIS-COGNF DEF
440,AORTIC ATHEROSCLEROSIS
441,DSCT OF AORTA UNSP SITE
442,UPPER EXTREMITY ANEURYSM
443,RAYNAUD'S SYNDROME
444,ABD AORTIC EMBOLISM
445,"ATHEROEMBOLISM,UPPER EXT"
446,POLYARTERITIS NODOSA
447,ACQ ARTERIOVEN FISTULA
448,HEREDIT HEMORR TELANGIEC
451,SUPERFIC PHLEBITIS-LEG
452,PORTAL VEIN THROMBOSIS
453,BUDD-CHIARI SYNDROME
454,LEG VARICOSITY W ULCER
455,INT HEMORRHOID W/O COMPL
456,ESOPHAG VARICES W BLEED
457,POSTMASTECT LYMPHEDEMA
458,ORTHOSTATIC HYPOTENSION
459,HEMORRHAGE NOS
460,ACUTE NASOPHARYNGITIS
461,AC MAXILLARY SINUSITIS
462,ACUTE PHARYNGITIS
463,ACUTE TONSILLITIS
464,AC LARYNGITIS W/O OBST
465,ACUTE LARYNGOPHARYNGITIS
466,ACUTE BRONCHITIS
470,DEVIATED NASAL SEPTUM
471,POLYP OF NASAL CAVITY
472,CHRONIC RHINITIS
473,CHR MAXILLARY SINUSITIS
474,CHRONIC TONSILLITIS
475,PERITONSILLAR ABSCESS
477,RHINITIS DUE TO POLLEN
478,HYPERTRPH NASAL TURBINAT
480,ADENOVIRAL PNEUMONIA
481,PNEUMOCOCCAL PNEUMONIA
482,K. PNEUMONIAE PNEUMONIA
483,PNEU MYCPLSM PNEUMONIAE
484,PNEUM W CYTOMEG INCL DIS
485,BRONCHOPNEUMONIA ORG NOS
486,"PNEUMONIA, ORGANISM NOS"
487,INFLUENZA WITH PNEUMONIA
490,BRONCHITIS NOS
491,SIMPLE CHR BRONCHITIS
492,EMPHYSEMATOUS BLEB
493,EXTRINSIC ASTHMA NOS
494,BRONCHIECTAS W/O AC EXAC
495,FARMERS' LUNG
496,CHR AIRWAY OBSTRUCT NEC
500,COAL WORKERS' PNEUMOCON
501,ASBESTOSIS
506,FUM/VAPOR BRONC/PNEUMON
507,FOOD/VOMIT PNEUMONITIS
508,AC PUL MANIF D/T RADIAT
510,EMPYEMA WITH FISTULA
511,PLEURISY W/O EFFUS OR TB
512,SPONT TENS PNEUMOTHORAX
513,ABSCESS OF LUNG
514,PULM CONGEST/HYPOSTASIS
515,POSTINFLAM PULM FIBROSIS
516,PUL ALVEOLAR PROTEINOSIS
517,RHEUMATIC PNEUMONIA
518,PULMONARY COLLAPSE
519,TRACHEOSTOMY COMP NOS
520,ANODONTIA
521,DENTAL CARIES NOS
522,PULPITIS
523,ACUTE GINGIVITIS
524,UNSPCF ANOMALY JAW SIZE
525,EXFOLIATION OF TEETH
526,DEVEL ODONTOGENIC CYSTS
527,SALIVARY GLAND ATROPHY
528,STOMATITIS
529,GLOSSITIS
530,ACHALASIA & CARDIOSPASM
531,AC STOMACH ULCER W HEM
532,AC DUODENAL ULCER W HEM
533,AC PEPTIC ULCER W HEMORR
534,AC MARGINAL ULCER W HEM
535,ACUTE GASTRTIS W/O HMRHG
536,ACHLORHYDRIA
537,ACQ PYLORIC STENOSIS
538,GI MUCOSITIS (ULCERATVE)
540,AC APPEND W PERITONITIS
541,APPENDICITIS NOS
542,OTHER APPENDICITIS
543,HYPERPLASIA OF APPENDIX
550,UNILAT ING HERNIA W GANG
551,UNIL FEMORAL HERN W GANG
552,UNIL FEMORAL HERN W OBST
553,UNILAT FEMORAL HERNIA
555,"REG ENTERITIS, SM INTEST"
556,ULCERATIVE ENTEROCOLITIS
557,AC VASC INSUFF INTESTINE
558,RADIATION GASTROENTERIT
560,INTUSSUSCEPTION
562,DVRTCLO SML INT W/O HMRG
564,CONSTIPATION NOS
565,ANAL FISSURE
566,ANAL & RECTAL ABSCESS
567,PERITONITIS IN INFEC DIS
568,PERITONEAL ADHESIONS
569,ANAL & RECTAL POLYP
570,ACUTE NECROSIS OF LIVER
571,ALCOHOLIC FATTY LIVER
572,ABSCESS OF LIVER
573,CHR PASSIV CONGEST LIVER
574,CHOLELITH W AC CHOLECYST
575,ACUTE CHOLECYSTITIS
576,POSTCHOLECYSTECTOMY SYND
577,ACUTE PANCREATITIS
578,HEMATEMESIS
579,CELIAC DISEASE
580,AC PROLIFERAT NEPHRITIS
581,"NEPHROTIC SYN, PROLIFER"
582,CHR PROLIFERAT NEPHRITIS
583,PROLIFERAT NEPHRITIS NOS
584,"AC KIDNY FAIL, TUBR NECR"
585,CHRONIC RENAL FAILURE
586,RENAL FAILURE NOS
588,RENAL OSTEODYSTROPHY
590,CHR PYELONEPHRITIS NOS
591,HYDRONEPHROSIS
592,CALCULUS OF KIDNEY
593,NEPHROPTOSIS
594,BLAD DIVERTICULUM CALCUL
595,ACUTE CYSTITIS
596,BLADDER NECK OBSTRUCTION
597,URETHRAL ABSCESS
598,URETHR STRICT:INFECT NOS
599,URIN TRACT INFECTION NOS
600,HYPERTROPHY OF PROSTATE
601,ACUTE PROSTATITIS
602,CALCULUS OF PROSTATE
603,ENCYSTED HYDROCELE
604,ORCHITIS WITH ABSCESS
605,REDUN PREPUCE & PHIMOSIS
607,LEUKOPLAKIA OF PENIS
608,SEMINAL VESICULITIS
610,SOLITARY CYST OF BREAST
611,INFLAM DISEASE OF BREAST
614,AC SALPINGO-OOPHORITIS
615,AC UTERINE INFLAMMATION
616,CERVICITIS
617,UTERINE ENDOMETRIOSIS
618,PROLAPSE OF VAGINAL WALL
619,"URIN-GENITAL FISTUL, FEM"
620,FOLLICULAR CYST OF OVARY
621,POLYP OF CORPUS UTERI
622,EROSION/ECTROPION CERVIX
623,DYSPLASIA OF VAGINA
624,DYSTROPHY OF VULVA
625,DYSPAREUNIA
626,ABSENCE OF MENSTRUATION
627,PREMENOPAUSE MENORRHAGIA
632,MISSED ABORTION
633,ABD PREG W/O INTRAU PREG
634,SPON ABOR W PEL INF-UNSP
637,ABORT NOS W PEL INF-UNSP
640,THREATENED ABORT-UNSPEC
641,PLACENTA PREVIA-UNSPEC
642,ESSEN HYPERTEN PREG-UNSP
643,MILD HYPEREM GRAV-UNSPEC
644,THREAT PREM LABOR-UNSPEC
645,POST TERM PREG-UNSP
646,PAPYRACEOUS FETUS-UNSPEC
647,SYPHILIS IN PREG-UNSPEC
648,DIABETES IN PREG-UNSPEC
649,TOBACCO USE DISORD-UNSP
652,UNSTABLE LIE-UNSPECIFIED
653,PELVIC DEFORM NOS-UNSPEC
654,CONG ABN UTER PREG-UNSP
655,FETAL CNS MALFORM-UNSPEC
656,FETAL-MATERNAL HEM-UNSP
657,POLYHYDRAMNIOS-UNSPEC
658,OLIGOHYDRAMNIOS-UNSPEC
659,FAIL MECHAN INDUCT-UNSP
660,OBSTRUCT/FET MALPOS-UNSP
661,PRIM UTERINE INERT-UNSP
663,CORD PROLAPSE-UNSPEC
664,DEL W 1 DEG LACERAT-UNSP
665,PRELABOR RUPT UTER-UNSP
669,MATERNAL DISTRESS-UNSPEC
670,MAJ PUERP INF NOS-UNSP
671,VARIC VEIN LEG PREG-UNSP
674,PUERP CEREBVASC DIS-UNSP
680,CARBUNCLE OF FACE
681,"CELLULITIS, FINGER NOS"
682,CELLULITIS OF FACE
683,ACUTE LYMPHADENITIS
684,IMPETIGO
685,PILONIDAL CYST W ABSCESS
686,PYODERMA NOS
690,SEBRRHEIC DERMATITIS NOS
691,DIAPER OR NAPKIN RASH
692,DETERGENT DERMATITIS
693,DRUG DERMATITIS NOS
694,DERMATITIS HERPETIFORMIS
695,TOXIC ERYTHEMA
696,PSORIATIC ARTHROPATHY
697,LICHEN PLANUS
698,PRURITUS ANI
700,CORNS AND CALLOSITIES
701,CIRCUMSCRIBE SCLERODERMA
702,ACTINIC KERATOSIS
703,INGROWING NAIL
704,ALOPECIA NOS
705,ANHIDROSIS
706,ACNE VARIOLIFORMIS
707,DECUBITUS ULCER
708,ALLERGIC URTICARIA
709,"DYSCHROMIA, UNSPECIFIED"
710,SYST LUPUS ERYTHEMATOSUS
711,PYOGEN ARTHRITIS-UNSPEC
712,DICALC PHOS CRYST-UNSPEC
713,ARTHROP W ENDOCR/MET DIS
714,RHEUMATOID ARTHRITIS
715,GENERAL OSTEOARTHROSIS
716,KASCHIN-BECK DIS-UNSPEC
717,OLD BUCKET TEAR MED MEN
718,ARTIC CARTIL DIS-UNSPEC
719,JOINT EFFUSION-UNSPEC
720,ANKYLOSING SPONDYLITIS
721,CERVICAL SPONDYLOSIS
722,CERVICAL DISC DISPLACMNT
723,CERVICAL SPINAL STENOSIS
724,SPINAL STENOSIS NOS
725,POLYMYALGIA RHEUMATICA
726,ADHESIVE CAPSULIT SHLDER
727,SYNOVITIS NOS
728,INFECTIVE MYOSITIS
729,RHEUMATISM NOS
730,AC OSTEOMYELITIS-UNSPEC
731,OSTEITIS DEFORMANS NOS
732,JUV OSTEOCHONDROS SPINE
733,OSTEOPOROSIS NOS
734,FLAT FOOT
735,HALLUX VALGUS
736,FOREARM DEFORMITY NOS
737,ADOLES POSTURAL KYPHOSIS
738,ACQ NOSE DEFORMITY
741,SPIN BIF W HYDROCEPH NOS
742,ENCEPHALOCELE
744,EAR ANOM NOS/IMPAIR HEAR
745,COMMON TRUNCUS
746,PULMONARY VALVE ANOM NOS
747,PATENT DUCTUS ARTERIOSUS
748,CHOANAL ATRESIA
750,TONGUE TIE
751,MECKEL'S DIVERTICULUM
752,ANOMALIES OF OVARIES
753,RENAL AGENESIS
754,CONG SKULL/FACE/JAW DEF
755,POLYDACTYLY NOS
756,ANOMAL SKULL/FACE BONES
757,HEREDITARY EDEMA OF LEGS
758,DOWN'S SYNDROME
759,ANOMALIES OF SPLEEN
780,COMA
781,ABN INVOLUN MOVEMENT NEC
782,SKIN SENSATION DISTURB
783,ANOREXIA
784,HEADACHE
785,TACHYCARDIA NOS
786,RESPIRATORY ABNORM NOS
787,NAUSEA WITH VOMITING
788,RENAL COLIC
789,ABDMNAL PAIN UNSPCF SITE
790,"DROP, HEMATOCRIT, PRECIP"
791,PROTEINURIA
792,ABN FND-CEREBROSPINAL FL
793,NONSP ABN FD-SKULL/HEAD
794,ABN CNS FUNCT STUDY NOS
795,ABN GLANDULAR PAP SMEAR
796,ABN TOXICOLOGIC FINDING
797,SENILITY W/O PSYCHOSIS
799,ASPHYXIA
800,CLOSED SKULL VAULT FX
801,CLOS SKULL BASE FRACTURE
802,NASAL BONE FX-CLOSED
803,CLOSE SKULL FRACTURE NEC
804,CL SKUL FX W OTH BONE FX
805,FX CERVICAL VERT NOS-CL
806,C1-C4 FX-CL/CORD INJ NOS
807,FRACTURE RIB NOS-CLOSED
808,FRACTURE ACETABULUM-CLOS
810,FX CLAVICLE NOS-CLOSED
811,FX SCAPULA NOS-CLOSED
812,FX UP END HUMERUS NOS-CL
813,FX UPPER FOREARM NOS-CL
814,FX CARPAL BONE NOS-CLOSE
815,FX METACARPAL NOS-CLOSED
816,"FX PHALANX, HAND NOS-CL"
817,MULTIPLE FX HAND-CLOSED
820,FX FEMUR INTRCAPS NOS-CL
821,FX FEMUR NOS-CLOSED
822,FRACTURE PATELLA-CLOSED
823,FX UPPER END TIBIA-CLOSE
824,FX MEDIAL MALLEOLUS-CLOS
825,FRACTURE CALCANEUS-CLOSE
826,"FX PHALANX, FOOT-CLOSED"
827,FX LOWER LIMB NEC-CLOSED
831,DISLOC SHOULDER NOS-CLOS
832,DISLOCAT ELBOW NOS-CLOSE
833,DISLOC WRIST NOS-CLOSED
834,DISL FINGER NOS-CLOSED
835,DISLOCAT HIP NOS-CLOSED
836,TEAR MED MENISC KNEE-CUR
837,DISLOCATION ANKLE-CLOSED
838,DISLOCAT FOOT NOS-CLOSED
839,DISLOC CERV VERT NOS-CL
840,SPRAIN ACROMIOCLAVICULAR
841,SPRAIN RADIAL COLLAT LIG
842,SPRAIN OF WRIST NOS
843,SPRAIN ILIOFEMORAL
844,SPRAIN LATERAL COLL LIG
845,SPRAIN OF ANKLE NOS
846,SPRAIN LUMBOSACRAL
847,SPRAIN OF NECK
848,SPRAIN OF NASAL SEPTUM
850,CONCUSSION W/O COMA
851,CEREBRAL CORTX CONTUSION
852,TRAUM SUBARACHNOID HEM
853,TRAUMATIC BRAIN HEM NEC
854,BRAIN INJURY NEC
860,TRAUM PNEUMOTHORAX-CLOSE
861,HEART INJURY NOS-CLOSED
862,DIAPHRAGM INJURY-CLOSED
863,STOMACH INJURY-CLOSED
864,LIVER INJURY NOS-CLOSED
865,SPLEEN INJURY NOS-CLOSED
866,KIDNEY INJURY NOS-CLOSED
867,BLADDER/URETHRA INJ-CLOS
868,INTRA-ABDOM INJ NOS-CLOS
869,INTERNAL INJ NOS-CLOSED
870,LAC EYELID SKN/PERIOCULR
871,OCULAR LAC W/O PROLAPSE
872,OPN WOUND EXTERN EAR NOS
873,OPEN WOUND OF SCALP
875,OPEN WOUND OF CHEST
876,OPEN WOUND OF BACK
877,OPEN WOUND OF BUTTOCK
878,OPEN WOUND OF PENIS
879,OPEN WOUND OF BREAST
880,OPEN WOUND OF SHOULDER
881,OPEN WOUND OF FOREARM
882,OPEN WOUND OF HAND
883,OPEN WOUND OF FINGER
884,OPEN WOUND ARM MULT/NOS
885,AMPUTATION THUMB
886,AMPUTATION FINGER
890,OPEN WOUND OF HIP/THIGH
891,OPEN WND KNEE/LEG/ANKLE
892,OPEN WOUND OF FOOT
893,OPEN WOUND OF TOE
894,OPEN WOUND OF LEG NEC
895,AMPUTATION TOE
897,"AMPUT BELOW KNEE, UNILAT"
903,INJ AXILLARY VESSEL NOS
904,INJ COMMON FEMORAL ARTER
905,LATE EFFEC SKULL/FACE FX
906,LT EFF OPN WND HEAD/TRNK
907,LT EFF INTRACRANIAL INJ
908,LATE EFF INT INJUR CHEST
909,LATE EFF DRUG POISONING
910,ABRASION HEAD
911,ABRASION TRUNK
912,ABRASION SHOULDER/ARM
913,ABRASION FOREARM
914,ABRASION HAND
915,ABRASION FINGER
916,ABRASION HIP & LEG
917,ABRASION FOOT & TOE
918,SUPERFIC INJ PERIOCULAR
919,ABRASION NEC
920,CONTUSION FACE/SCALP/NCK
921,BLACK EYE NOS
922,CONTUSION OF BREAST
923,CONTUSION SHOULDER REG
924,CONTUSION OF THIGH
927,CRUSH INJ SHOULDER REG
928,CRUSHING INJURY THIGH
930,CORNEAL FOREIGN BODY
933,FOREIGN BODY IN PHARYNX
934,FOREIGN BODY IN TRACHEA
935,FOREIGN BODY IN MOUTH
936,FB IN INTESTINE & COLON
939,FB BLADDER & URETHRA
941,BURN NOS HEAD-UNSPEC
942,BURN NOS TRUNK-UNSPEC
943,BURN NOS ARM-UNSPEC
944,BURN NOS HAND-UNSPEC
945,BURN NOS LEG-UNSPEC
947,BURN OF MOUTH & PHARYNX
948,BDY BRN < 10%/3D DEG NOS
951,INJURY OCULOMOTOR NERVE
952,C1-C4 SPIN CORD INJ NOS
953,CERVICAL ROOT INJURY
955,INJURY AXILLARY NERVE
956,INJURY SCIATIC NERVE
957,INJ SUPERF NERV HEAD/NCK
958,AIR EMBOLISM
959,HEAD INJURY NOS
962,POIS-CORTICOSTEROIDS
963,POIS-ANTIALLRG/ANTIEMET
964,POISONING-IRON/COMPOUNDS
965,POISONING-OPIUM NOS
966,POISON-OXAZOLIDINE DERIV
967,POISONING-BARBITURATES
968,POIS-CNS MUSCLE DEPRESS
969,POISONING-ANTIDEPRESSANT
970,POISONING-ANALEPTICS
971,POIS-PARASYMPATHOMIMETIC
972,POIS-CARD RHYTHM REGULAT
973,POIS-ANTACID/ANTIGASTRIC
974,POIS-MERCURIAL DIURETICS
975,POISONING-OXYTOCIC AGENT
976,POIS-LOCAL ANTI-INFECT
977,POISONING-DIETETICS
980,TOXIC EFF ETHYL ALCOHOL
982,TOXIC EFFECT BENZENE
983,TOX EFF CORROSIVE AROMAT
986,TOX EFF CARBON MONOXIDE
987,TOXIC EFF LIQ PETROL GAS
988,TOXIC EFF FISH/SHELLFISH
989,TOXIC EFFECT CYANIDES
990,EFFECTS RADIATION NOS
991,FROSTBITE OF FACE
992,HEAT STROKE & SUNSTROKE
994,EFFECTS OF LIGHTNING
